date,sessions,users,page_views,source,exhibition_page_views,film_page_views,membership_page_views,avg_session_duration_seconds
2022-01-14,24,17,74,Paid,17,16,10,224
2022-01-15,181,152,714,Organic Search,145,195,92,139
2022-01-15,92,68,319,Social,48,84,43,197
2022-01-15,127,100,324,Direct,57,62,19,184
2022-01-15,44,32,196,Email,45,56,14,221
2022-01-15,42,37,159,Paid,37,28,19,170
2022-01-16,137,121,616,Organic Search,126,125,80,167
2022-01-16,88,78,338,Social,79,101,39,164
2022-01-16,101,87,443,Direct,99,104,26,154
2022-01-16,46,35,129,Email,27,24,12,182
2022-01-16,31,24,105,Paid,21,28,13,243
2022-01-17,100,88,409,Organic Search,63,115,40,190
2022-01-17,76,55,225,Social,37,49,29,262
2022-01-17,63,50,251,Direct,49,71,34,140
2022-01-17,29,21,89,Email,20,18,10,192
2022-01-17,26,22,107,Paid,19,21,14,205
2022-01-18,87,78,329,Organic Search,73,75,45,164
2022-01-18,57,41,206,Social,39,59,19,169
2022-01-18,67,56,292,Direct,58,54,40,169
2022-01-18,28,23,101,Email,25,30,11,211
2022-01-18,25,20,94,Paid,20,26,6,221
2022-01-19,63,54,249,Organic Search,48,59,29,169
2022-01-19,40,31,168,Social,25,41,15,205
2022-01-19,52,42,131,Direct,22,31,10,190
2022-01-19,24,20,70,Email,11,21,7,169
2022-01-19,14,12,44,Paid,11,10,4,176
2022-01-20,61,50,191,Organic Search,45,48,21,73
2022-01-20,39,34,144,Social,32,35,17,235
2022-01-20,47,35,118,Direct,20,26,7,199
2022-01-20,18,15,66,Email,10,14,6,152
2022-01-20,10,8,40,Paid,8,8,3,130
2022-01-21,120,89,523,Organic Search,110,114,51,244
2022-01-21,57,49,214,Social,33,47,18,239
2022-01-21,65,53,167,Direct,31,39,18,204
2022-01-21,33,24,109,Email,27,25,9,154
2022-01-21,27,20,90,Paid,14,26,5,86
2022-01-22,95,73,253,Organic Search,51,73,14,214
2022-01-22,71,63,193,Social,28,42,26,194
2022-01-22,77,58,263,Direct,48,68,15,242
2022-01-22,28,21,74,Email,18,14,8,165
2022-01-22,23,20,71,Paid,11,16,5,140
2022-01-23,119,85,375,Organic Search,61,112,32,177
2022-01-23,98,86,255,Social,50,57,35,173
2022-01-23,87,67,244,Direct,53,45,32,200
2022-01-23,43,32,166,Email,25,37,19,206
2022-01-23,34,29,105,Paid,25,21,10,153
2022-01-24,151,114,476,Organic Search,79,140,56,154
2022-01-24,86,70,306,Social,75,86,42,194
2022-01-24,98,81,325,Direct,82,70,35,204
2022-01-24,38,28,148,Email,31,34,11,211
2022-01-24,34,25,88,Paid,21,17,11,203
2022-01-25,99,76,396,Organic Search,84,118,50,182
2022-01-25,56,44,216,Social,42,60,22,166
2022-01-25,72,60,241,Direct,37,67,24,159
2022-01-25,24,19,100,Email,17,22,12,298
2022-01-25,15,11,60,Paid,13,10,3,146
2022-01-26,117,92,430,Organic Search,87,85,49,211
2022-01-26,61,53,188,Social,31,34,11,176
2022-01-26,81,65,298,Direct,75,75,23,185
2022-01-26,33,27,106,Email,26,26,14,89
2022-01-26,26,21,87,Paid,20,16,10,252
2022-01-27,82,59,323,Organic Search,56,81,30,158
2022-01-27,66,58,211,Social,53,61,28,71
2022-01-27,71,53,236,Direct,42,41,20,201
2022-01-27,24,19,92,Email,20,18,12,320
2022-01-27,23,20,76,Paid,16,14,7,193
2022-01-28,126,94,327,Organic Search,53,74,43,202
2022-01-28,75,56,279,Social,66,79,20,161
2022-01-28,94,84,258,Direct,43,76,25,180
2022-01-28,38,29,112,Email,18,22,9,236
2022-01-28,29,22,123,Paid,23,26,11,166
2022-01-29,108,94,296,Organic Search,72,89,31,185
2022-01-29,65,55,237,Social,58,62,15,231
2022-01-29,86,65,252,Direct,59,63,33,219
2022-01-29,36,27,154,Email,31,30,17,195
2022-01-29,21,17,58,Paid,10,12,3,247
2022-01-30,156,124,405,Organic Search,103,120,41,205
2022-01-30,80,70,320,Social,61,64,36,131
2022-01-30,109,93,290,Direct,50,58,33,167
2022-01-30,44,33,190,Email,47,36,14,95
2022-01-30,34,28,137,Paid,24,36,13,211
2022-01-31,118,88,324,Organic Search,64,79,41,183
2022-01-31,93,68,338,Social,52,80,19,247
2022-01-31,83,69,266,Direct,65,74,32,139
2022-01-31,36,27,130,Email,32,32,9,231
2022-01-31,30,22,75,Paid,12,18,4,180
2022-02-01,187,139,580,Organic Search,127,157,31,204
2022-02-01,105,79,409,Social,144,123,37,155
2022-02-01,139,116,424,Direct,88,171,43,209
2022-02-01,41,32,145,Email,47,56,19,150
2022-02-01,32,27,140,Paid,47,59,15,111
2022-02-02,164,132,448,Organic Search,131,154,45,286
2022-02-02,95,70,260,Social,70,100,23,222
2022-02-02,131,116,517,Direct,135,148,59,187
2022-02-02,42,35,143,Email,44,50,7,167
2022-02-02,40,34,165,Paid,40,70,18,170
2022-02-03,142,112,586,Organic Search,189,228,65,163
2022-02-03,95,73,300,Social,80,108,34,227
2022-02-03,134,109,454,Direct,121,132,28,153
2022-02-03,31,22,114,Email,25,35,15,222
2022-02-03,40,35,105,Paid,26,28,6,129
2022-02-04,185,153,780,Organic Search,269,238,55,132
2022-02-04,73,61,232,Social,62,96,26,154
2022-02-04,139,112,565,Direct,172,199,38,160
2022-02-04,49,36,193,Email,52,68,14,109
2022-02-04,43,37,145,Paid,48,48,15,169
2022-02-05,184,146,582,Organic Search,149,232,77,107
2022-02-05,148,121,552,Social,119,226,74,219
2022-02-05,141,126,583,Direct,191,155,50,294
2022-02-05,62,51,177,Email,52,47,9,180
2022-02-05,51,45,162,Paid,45,57,17,207
2022-02-06,202,164,658,Organic Search,201,253,76,190
2022-02-06,135,119,588,Social,123,158,63,193
2022-02-06,186,161,771,Direct,174,218,69,177
2022-02-06,60,44,193,Email,64,80,13,185
2022-02-06,49,41,214,Paid,52,80,16,176
2022-02-07,151,130,563,Organic Search,172,182,63,194
2022-02-07,101,73,406,Social,117,146,47,224
2022-02-07,119,96,423,Direct,154,158,31,228
2022-02-07,45,38,196,Email,68,64,10,133
2022-02-07,31,26,106,Paid,33,41,10,166
2022-02-08,125,94,459,Organic Search,107,156,58,148
2022-02-08,72,60,248,Social,65,104,16,169
2022-02-08,99,85,329,Direct,77,143,44,172
2022-02-08,37,29,154,Email,34,63,16,195
2022-02-08,33,28,131,Paid,38,33,6,195
2022-02-09,162,136,507,Organic Search,148,199,70,162
2022-02-09,106,86,428,Social,131,155,54,161
2022-02-09,102,79,300,Direct,84,105,22,83
2022-02-09,39,29,102,Email,31,34,5,125
2022-02-09,38,30,166,Paid,35,62,14,223
2022-02-10,119,105,331,Organic Search,108,114,16,118
2022-02-10,71,62,262,Social,74,78,20,208
2022-02-10,103,92,357,Direct,129,130,43,179
2022-02-10,36,31,149,Email,36,57,16,189
2022-02-10,26,23,87,Paid,25,26,6,196
2022-02-11,143,127,536,Organic Search,187,139,61,182
2022-02-11,68,54,251,Social,68,77,25,206
2022-02-11,96,73,247,Direct,85,88,23,163
2022-02-11,37,31,164,Email,42,45,13,142
2022-02-11,26,22,97,Paid,34,40,10,167
2022-02-12,201,155,631,Organic Search,200,178,87,133
2022-02-12,120,89,494,Social,121,184,55,135
2022-02-12,138,102,468,Direct,144,129,65,176
2022-02-12,55,44,224,Email,50,94,24,152
2022-02-12,50,37,144,Paid,37,62,15,271
2022-02-13,159,129,647,Organic Search,146,183,65,134
2022-02-13,92,76,413,Social,87,133,21,229
2022-02-13,117,85,377,Direct,111,163,38,123
2022-02-13,42,32,151,Email,31,40,9,128
2022-02-13,46,36,125,Paid,40,45,10,248
2022-02-14,129,105,345,Organic Search,88,133,31,89
2022-02-14,70,51,311,Social,104,89,33,143
2022-02-14,103,75,295,Direct,76,126,21,291
2022-02-14,41,29,173,Email,52,72,12,177
2022-02-14,31,22,108,Paid,31,44,13,189
2022-02-15,129,98,563,Organic Search,138,241,67,106
2022-02-15,75,62,290,Social,92,125,17,165
2022-02-15,81,64,230,Direct,61,63,16,193
2022-02-15,40,35,112,Email,31,43,8,242
2022-02-15,28,24,94,Paid,20,35,5,99
2022-02-16,157,117,524,Organic Search,180,139,49,276
2022-02-16,132,116,464,Social,110,187,64,169
2022-02-16,122,90,323,Direct,72,131,17,129
2022-02-16,36,31,95,Email,29,24,13,208
2022-02-16,39,31,145,Paid,45,37,18,235
2022-02-17,134,97,339,Organic Search,93,140,23,186
2022-02-17,134,107,559,Social,148,170,31,138
2022-02-17,138,105,504,Direct,118,172,49,200
2022-02-17,50,42,145,Email,38,49,11,181
2022-02-17,33,29,115,Paid,27,33,5,111
2022-02-18,107,83,457,Organic Search,125,154,28,207
2022-02-18,97,76,286,Social,85,112,29,252
2022-02-18,83,64,363,Direct,88,144,19,236
2022-02-18,39,33,121,Email,42,32,15,194
2022-02-18,34,27,100,Paid,27,36,5,102
2022-02-19,176,157,705,Organic Search,246,292,39,198
2022-02-19,93,72,284,Social,74,96,26,122
2022-02-19,94,82,261,Direct,75,77,15,178
2022-02-19,49,38,186,Email,43,51,20,243
2022-02-19,32,25,98,Paid,24,41,6,172
2022-02-20,160,116,539,Organic Search,144,192,53,211
2022-02-20,85,72,363,Social,81,106,50,124
2022-02-20,132,105,356,Direct,76,102,43,186
2022-02-20,44,34,140,Email,44,44,14,131
2022-02-20,34,25,139,Paid,43,53,7,153
2022-02-21,111,95,302,Organic Search,92,123,24,236
2022-02-21,72,52,309,Social,101,96,35,223
2022-02-21,76,67,231,Direct,74,81,31,247
2022-02-21,36,28,107,Email,36,39,8,214
2022-02-21,23,17,97,Paid,29,34,10,213
2022-02-22,197,163,577,Organic Search,209,153,33,299
2022-02-22,95,79,281,Social,79,81,34,141
2022-02-22,145,107,445,Direct,122,170,35,141
2022-02-22,69,55,192,Email,48,65,15,136
2022-02-22,48,36,192,Paid,61,65,26,153
2022-02-23,91,77,277,Organic Search,57,118,17,169
2022-02-23,61,54,229,Social,54,96,16,222
2022-02-23,60,50,178,Direct,38,51,18,223
2022-02-23,26,22,80,Email,21,29,8,146
2022-02-23,19,13,78,Paid,20,26,4,186
2022-02-24,149,127,600,Organic Search,174,187,50,174
2022-02-24,86,68,332,Social,102,134,24,187
2022-02-24,111,97,287,Direct,86,107,15,272
2022-02-24,38,31,132,Email,40,35,11,242
2022-02-24,37,29,139,Paid,34,53,13,178
2022-02-25,183,147,624,Organic Search,175,180,34,196
2022-02-25,111,97,374,Social,114,98,43,214
2022-02-25,132,111,578,Direct,167,234,67,144
2022-02-25,55,45,216,Email,59,83,19,256
2022-02-25,39,29,99,Paid,24,30,12,224
2022-02-26,171,147,611,Organic Search,178,204,48,209
2022-02-26,118,95,330,Social,95,98,31,148
2022-02-26,114,96,407,Direct,142,154,37,160
2022-02-26,50,36,149,Email,31,58,16,213
2022-02-26,38,33,118,Paid,29,38,6,181
2022-02-27,178,140,687,Organic Search,183,261,53,191
2022-02-27,148,113,587,Social,187,244,47,123
2022-02-27,143,111,503,Direct,184,189,56,164
2022-02-27,57,41,221,Email,52,74,13,264
2022-02-27,35,31,95,Paid,20,29,10,164
2022-02-28,168,148,717,Organic Search,185,220,100,232
2022-02-28,80,62,214,Social,77,58,11,238
2022-02-28,124,99,381,Direct,93,139,43,150
2022-02-28,39,32,102,Email,30,29,12,130
2022-02-28,25,20,90,Paid,29,31,11,274
2022-03-01,116,86,349,Organic Search,93,128,41,82
2022-03-01,82,67,355,Social,104,102,30,164
2022-03-01,114,97,349,Direct,76,96,40,231
2022-03-01,43,31,141,Email,34,47,10,187
2022-03-01,35,29,104,Paid,28,46,10,240
2022-03-02,157,139,433,Organic Search,94,154,21,132
2022-03-02,95,75,414,Social,134,178,35,161
2022-03-02,111,85,432,Direct,110,143,53,168
2022-03-02,44,37,184,Email,42,76,9,149
2022-03-02,29,21,92,Paid,26,28,11,147
2022-03-03,131,116,443,Organic Search,157,138,58,219
2022-03-03,81,60,286,Social,65,95,35,190
2022-03-03,92,80,245,Direct,74,82,27,233
2022-03-03,31,25,97,Email,27,30,5,195
2022-03-03,29,25,95,Paid,30,31,7,224
2022-03-04,150,117,579,Organic Search,139,244,43,180
2022-03-04,68,57,221,Social,62,69,24,161
2022-03-04,98,72,430,Direct,94,134,37,176
2022-03-04,33,25,101,Email,31,31,12,246
2022-03-04,30,23,122,Paid,29,36,13,174
2022-03-05,220,196,886,Organic Search,281,330,122,238
2022-03-05,116,93,372,Social,98,131,43,218
2022-03-05,174,144,446,Direct,102,135,61,157
2022-03-05,59,50,231,Email,63,66,31,206
2022-03-05,44,32,153,Paid,46,54,8,145
2022-03-06,158,129,458,Organic Search,174,168,45,148
2022-03-06,84,68,212,Social,64,69,19,129
2022-03-06,108,95,335,Direct,117,131,40,176
2022-03-06,43,38,186,Email,48,56,17,144
2022-03-06,41,36,124,Paid,28,37,15,135
2022-03-07,168,126,653,Organic Search,144,214,88,191
2022-03-07,117,93,421,Social,139,148,27,207
2022-03-07,102,75,310,Direct,98,102,34,163
2022-03-07,45,37,174,Email,42,68,22,212
2022-03-07,35,30,88,Paid,26,25,11,154
2022-03-08,115,86,417,Organic Search,96,158,31,180
2022-03-08,91,69,289,Social,72,118,34,154
2022-03-08,94,71,297,Direct,91,86,37,171
2022-03-08,41,30,174,Email,55,46,23,132
2022-03-08,29,25,77,Paid,20,24,6,126
2022-03-09,144,107,604,Organic Search,228,260,47,208
2022-03-09,93,76,352,Social,120,104,47,163
2022-03-09,111,89,297,Direct,66,129,25,268
2022-03-09,38,34,137,Email,45,37,13,189
2022-03-09,30,26,111,Paid,28,42,12,168
2022-03-10,138,106,570,Organic Search,213,187,75,236
2022-03-10,69,59,258,Social,67,112,25,211
2022-03-10,83,74,333,Direct,100,136,41,202
2022-03-10,38,31,162,Email,54,50,16,206
2022-03-10,30,23,113,Paid,34,46,13,171
2022-03-11,165,137,431,Organic Search,119,130,37,190
2022-03-11,96,78,248,Social,74,65,33,172
2022-03-11,101,88,256,Direct,67,108,27,232
2022-03-11,36,28,132,Email,35,34,13,185
2022-03-11,31,22,91,Paid,27,33,10,239
2022-03-12,266,235,1025,Organic Search,269,437,84,249
2022-03-12,135,108,482,Social,165,184,66,62
2022-03-12,184,151,767,Direct,282,299,61,220
2022-03-12,67,51,282,Email,71,116,25,158
2022-03-12,58,43,145,Paid,51,58,11,247
2022-03-13,224,190,793,Organic Search,298,280,84,224
2022-03-13,134,99,452,Social,100,196,34,238
2022-03-13,133,113,589,Direct,136,164,40,158
2022-03-13,53,39,150,Email,51,61,16,197
2022-03-13,53,46,203,Paid,45,80,15,216
2022-03-14,113,98,447,Organic Search,139,194,59,206
2022-03-14,60,51,214,Social,73,92,19,207
2022-03-14,50,36,178,Direct,46,48,20,212
2022-03-14,20,17,81,Email,22,34,4,203
2022-03-14,20,14,76,Paid,20,29,4,233
2022-03-15,99,85,332,Organic Search,123,87,41,177
2022-03-15,94,76,419,Social,105,127,31,190
2022-03-15,99,78,437,Direct,120,142,58,171
2022-03-15,43,35,180,Email,47,63,9,255
2022-03-15,31,25,85,Paid,28,27,8,223
2022-03-16,157,134,541,Organic Search,165,234,44,148
2022-03-16,123,92,330,Social,120,103,42,154
2022-03-16,120,91,460,Direct,160,165,34,205
2022-03-16,44,33,160,Email,54,51,20,180
2022-03-16,41,35,148,Paid,47,63,14,103
2022-03-17,126,113,440,Organic Search,141,125,30,166
2022-03-17,93,82,329,Social,123,147,24,92
2022-03-17,103,75,403,Direct,114,126,48,121
2022-03-17,35,29,145,Email,35,46,7,184
2022-03-17,38,29,141,Paid,41,50,11,220
2022-03-18,112,87,491,Organic Search,114,136,32,176
2022-03-18,89,67,362,Social,101,114,44,206
2022-03-18,81,59,249,Direct,80,100,31,165
2022-03-18,33,26,127,Email,46,53,17,61
2022-03-18,33,23,93,Paid,20,40,9,210
2022-03-19,280,247,858,Organic Search,251,293,81,193
2022-03-19,169,130,434,Social,129,119,57,173
2022-03-19,178,158,488,Direct,144,134,46,161
2022-03-19,68,53,195,Email,56,79,10,211
2022-03-19,59,47,225,Paid,74,97,20,81
2022-03-20,187,164,814,Organic Search,251,332,112,161
2022-03-20,108,80,411,Social,104,110,33,155
2022-03-20,182,139,700,Direct,207,232,44,202
2022-03-20,63,52,222,Email,48,90,20,272
2022-03-20,45,36,185,Paid,62,74,25,195
2022-03-21,196,171,616,Organic Search,200,206,75,214
2022-03-21,126,95,465,Social,165,153,55,225
2022-03-21,136,102,609,Direct,131,179,37,130
2022-03-21,50,43,138,Email,37,52,9,233
2022-03-21,37,32,128,Paid,41,48,8,154
2022-03-22,167,147,607,Organic Search,167,223,41,148
2022-03-22,85,75,263,Social,99,106,32,101
2022-03-22,95,82,392,Direct,102,119,54,220
2022-03-22,38,27,155,Email,48,43,21,137
2022-03-22,32,28,128,Paid,29,54,11,167
2022-03-23,142,104,572,Organic Search,191,239,50,113
2022-03-23,119,95,470,Social,155,136,31,207
2022-03-23,102,90,341,Direct,124,98,40,236
2022-03-23,36,28,102,Email,35,43,8,226
2022-03-23,43,34,162,Paid,51,54,10,253
2022-03-24,116,96,471,Organic Search,150,176,47,118
2022-03-24,85,72,314,Social,112,111,38,215
2022-03-24,84,72,252,Direct,76,101,23,149
2022-03-24,32,24,91,Email,25,34,12,186
2022-03-24,30,23,101,Paid,36,44,14,217
2022-03-25,125,104,547,Organic Search,196,202,28,205
2022-03-25,95,75,370,Social,96,105,42,233
2022-03-25,88,71,283,Direct,86,127,28,169
2022-03-25,42,30,177,Email,65,74,17,157
2022-03-25,32,25,133,Paid,36,39,9,190
2022-03-26,198,167,682,Organic Search,171,193,47,183
2022-03-26,97,79,252,Social,86,114,19,227
2022-03-26,145,120,546,Direct,165,164,30,188
2022-03-26,43,34,132,Email,29,55,11,124
2022-03-26,38,31,106,Paid,25,36,7,295
2022-03-27,190,139,660,Organic Search,154,245,80,176
2022-03-27,117,97,454,Social,132,145,53,198
2022-03-27,120,105,312,Direct,104,132,21,201
2022-03-27,59,50,258,Email,87,73,30,256
2022-03-27,50,42,136,Paid,34,60,15,229
2022-03-28,169,149,474,Organic Search,126,160,24,211
2022-03-28,106,80,306,Social,99,83,21,132
2022-03-28,126,109,367,Direct,119,166,49,175
2022-03-28,56,43,198,Email,52,77,23,149
2022-03-28,31,24,92,Paid,21,36,7,221
2022-03-29,96,72,332,Organic Search,78,92,43,228
2022-03-29,52,45,137,Social,32,61,8,173
2022-03-29,54,43,188,Direct,63,50,19,151
2022-03-29,25,19,97,Email,26,40,6,211
2022-03-29,18,15,72,Paid,24,22,5,164
2022-03-30,165,146,710,Organic Search,251,209,48,188
2022-03-30,100,82,338,Social,124,138,26,175
2022-03-30,84,66,331,Direct,117,101,21,223
2022-03-30,31,26,105,Email,33,30,7,140
2022-03-30,35,31,138,Paid,45,55,10,155
2022-03-31,172,154,561,Organic Search,199,242,78,113
2022-03-31,95,72,414,Social,126,109,56,110
2022-03-31,102,75,454,Direct,144,126,33,152
2022-03-31,34,27,152,Email,41,47,20,243
2022-03-31,35,27,106,Paid,39,33,12,246
2022-04-01,118,87,364,Organic Search,108,89,26,206
2022-04-01,55,49,215,Social,43,72,26,137
2022-04-01,65,49,181,Direct,46,52,24,196
2022-04-01,30,24,98,Email,22,36,10,252
2022-04-01,21,17,89,Paid,19,32,5,206
2022-04-02,149,124,375,Organic Search,70,113,36,218
2022-04-02,99,82,353,Social,106,91,24,191
2022-04-02,119,99,483,Direct,143,131,33,157
2022-04-02,49,37,169,Email,37,49,13,210
2022-04-02,42,32,140,Paid,33,34,14,169
2022-04-03,131,104,537,Organic Search,148,145,71,161
2022-04-03,87,73,369,Social,93,128,29,196
2022-04-03,119,89,302,Direct,84,110,32,231
2022-04-03,49,40,166,Email,41,40,14,212
2022-04-03,34,25,130,Paid,30,42,17,116
2022-04-04,117,85,373,Organic Search,82,119,38,173
2022-04-04,81,67,363,Social,103,81,28,144
2022-04-04,85,70,239,Direct,50,81,14,187
2022-04-04,36,27,127,Email,38,47,17,174
2022-04-04,27,21,90,Paid,16,26,6,228
2022-04-05,111,83,336,Organic Search,95,94,46,184
2022-04-05,51,39,227,Social,67,71,16,114
2022-04-05,54,47,214,Direct,68,52,17,193
2022-04-05,24,18,84,Email,18,31,11,124
2022-04-05,17,14,69,Paid,20,22,5,155
2022-04-06,122,99,372,Organic Search,110,127,19,159
2022-04-06,92,82,266,Social,66,80,33,194
2022-04-06,86,63,222,Direct,55,72,26,237
2022-04-06,26,19,69,Email,20,22,7,157
2022-04-06,24,20,87,Paid,21,20,11,236
2022-04-07,122,97,470,Organic Search,84,162,55,224
2022-04-07,84,61,298,Social,73,95,22,254
2022-04-07,71,58,310,Direct,96,108,25,158
2022-04-07,33,29,110,Email,33,28,14,148
2022-04-07,29,23,84,Paid,18,22,4,215
2022-04-08,91,69,331,Organic Search,69,119,41,154
2022-04-08,53,42,202,Social,51,57,24,143
2022-04-08,66,59,236,Direct,73,63,32,143
2022-04-08,24,18,87,Email,20,20,10,211
2022-04-08,20,17,71,Paid,19,23,8,147
2022-04-09,155,127,675,Organic Search,176,170,51,214
2022-04-09,96,76,397,Social,120,143,35,173
2022-04-09,108,81,282,Direct,80,96,18,121
2022-04-09,49,37,169,Email,42,52,23,237
2022-04-09,42,31,169,Paid,51,60,16,204
2022-04-10,96,84,274,Organic Search,51,64,26,198
2022-04-10,72,64,236,Social,73,85,20,168
2022-04-10,87,75,358,Direct,83,135,27,197
2022-04-10,33,23,134,Email,37,39,12,217
2022-04-10,26,19,111,Paid,23,31,5,172
2022-04-11,131,98,421,Organic Search,79,110,52,247
2022-04-11,78,61,206,Social,37,62,23,231
2022-04-11,83,65,297,Direct,68,107,20,163
2022-04-11,42,34,148,Email,43,53,12,262
2022-04-11,33,25,128,Paid,39,40,10,219
2022-04-12,130,112,399,Organic Search,96,146,31,79
2022-04-12,75,64,263,Social,60,97,14,157
2022-04-12,84,66,352,Direct,70,79,37,116
2022-04-12,45,36,151,Email,48,33,12,156
2022-04-12,25,19,89,Paid,27,29,5,315
2022-04-13,127,91,510,Organic Search,110,172,42,147
2022-04-13,75,59,329,Social,86,106,41,118
2022-04-13,92,71,305,Direct,77,89,22,207
2022-04-13,47,35,185,Email,44,49,24,238
2022-04-13,37,27,124,Paid,22,37,12,179
2022-04-14,141,126,419,Organic Search,124,118,49,186
2022-04-14,97,84,341,Social,66,105,22,216
2022-04-14,98,87,403,Direct,89,127,46,150
2022-04-14,44,39,137,Email,32,35,18,127
2022-04-14,25,20,112,Paid,30,28,9,82
2022-04-15,126,99,465,Organic Search,103,134,56,128
2022-04-15,75,60,262,Social,71,61,21,234
2022-04-15,92,69,324,Direct,60,91,43,160
2022-04-15,37,27,162,Email,33,39,16,231
2022-04-15,31,25,118,Paid,22,40,16,215
2022-04-16,139,112,377,Organic Search,104,92,19,196
2022-04-16,69,61,223,Social,40,81,20,229
2022-04-16,81,68,305,Direct,70,72,31,58
2022-04-16,38,30,142,Email,43,33,14,159
2022-04-16,26,18,91,Paid,18,24,11,185
2022-04-17,154,132,595,Organic Search,168,172,41,224
2022-04-17,100,73,278,Social,77,96,22,138
2022-04-17,90,70,330,Direct,87,118,22,167
2022-04-17,39,28,117,Email,22,34,15,148
2022-04-17,31,26,136,Paid,31,45,10,244
2022-04-18,127,109,562,Organic Search,166,145,39,190
2022-04-18,87,75,313,Social,76,115,26,153
2022-04-18,95,81,292,Direct,58,79,36,83
2022-04-18,38,28,170,Email,49,41,15,213
2022-04-18,32,27,84,Paid,26,23,7,188
2022-04-19,99,88,365,Organic Search,87,101,21,229
2022-04-19,66,54,237,Social,72,57,28,182
2022-04-19,70,60,241,Direct,54,76,18,174
2022-04-19,29,21,83,Email,21,29,4,164
2022-04-19,20,16,55,Paid,13,14,7,181
2022-04-20,99,73,273,Organic Search,65,60,32,179
2022-04-20,64,51,227,Social,63,68,21,182
2022-04-20,110,97,462,Direct,87,140,38,216
2022-04-20,29,22,95,Email,17,22,12,187
2022-04-20,29,25,96,Paid,23,29,4,131
2022-04-21,129,111,504,Organic Search,130,144,26,180
2022-04-21,75,57,194,Social,59,46,16,184
2022-04-21,107,96,307,Direct,98,96,30,166
2022-04-21,41,32,164,Email,38,44,8,185
2022-04-21,30,22,128,Paid,25,41,13,248
2022-04-22,121,107,535,Organic Search,146,162,36,213
